epoch,acc,loss,mse,val_acc,val_loss,val_mse
0,0.5075,0.7087049782276154,0.257456,0.51,0.6930596828460693,0.24995627
1,0.50125,0.7029664814472198,0.2548159,0.52,0.6929891705513,0.24992107
2,0.54375,0.694686159491539,0.2506414,0.53,0.6931594014167786,0.2500061
3,0.56,0.6859305053949356,0.24638599,0.525,0.6930631995201111,0.24995804
4,0.58125,0.6779455542564392,0.24248055,0.515,0.6929343342781067,0.2498936
5,0.585,0.6698324233293533,0.23857844,0.51,0.6928499341011047,0.2498514
6,0.5925,0.6722166687250137,0.23968887,0.51,0.6928125023841858,0.24983267
7,0.63625,0.6527145206928253,0.23029523,0.505,0.6927176117897034,0.2497852
8,0.6325,0.6508148014545441,0.22933803,0.505,0.6925549507141113,0.2497039
9,0.65125,0.6426342725753784,0.22543623,0.5,0.6923243999481201,0.24958867
10,0.67,0.6367371380329132,0.22250462,0.5,0.6919872760772705,0.24942018
11,0.6675,0.6291291415691376,0.21892539,0.5,0.6915957927703857,0.24922448
12,0.67625,0.6249274760484695,0.21692772,0.5,0.6911559104919434,0.24900469
13,0.6975,0.6162827610969543,0.21287228,0.5,0.6905942559242249,0.24872397
14,0.69375,0.613576203584671,0.21161166,0.5,0.6900204420089722,0.24843733
15,0.7075,0.603178858757019,0.20667072,0.5,0.6893664598464966,0.24811059
16,0.70875,0.5987353324890137,0.20460522,0.535,0.6886153221130371,0.24773544
17,0.72625,0.5932915806770325,0.20209524,0.555,0.6878370046615601,0.2473468
18,0.73875,0.584920272231102,0.19821997,0.565,0.6869758367538452,0.24691696
19,0.72875,0.5814952850341797,0.19657,0.57,0.6859844923019409,0.24642229
20,0.755,0.5718187689781189,0.19207174,0.57,0.6849834322929382,0.24592291
21,0.75375,0.5703449845314026,0.19135174,0.575,0.683895468711853,0.24538045
22,0.75125,0.5620891898870468,0.18772352,0.585,0.6827836632728577,0.24482617
23,0.765,0.5533245950937271,0.18365222,0.585,0.681611180305481,0.24424206
24,0.77375,0.5488965213298798,0.18184078,0.585,0.680378258228302,0.24362804
25,0.7725,0.5486501306295395,0.18178068,0.59,0.6790639758110046,0.242974
26,0.78,0.5409025102853775,0.17821191,0.595,0.677601158618927,0.24224617
27,0.77375,0.5393935590982437,0.17778255,0.595,0.6761036515235901,0.24150194
28,0.78625,0.532037690281868,0.17449717,0.595,0.6745120286941528,0.24071154
29,0.78,0.5277041792869568,0.17255665,0.6,0.6727813482284546,0.23985282
30,0.7825,0.5216496586799622,0.17028944,0.6,0.6710516214370728,0.2389956
31,0.7825,0.5200231075286865,0.16955641,0.6,0.6692025065422058,0.23808043
32,0.79375,0.5111209824681282,0.16536476,0.61,0.6673385500907898,0.2371587
33,0.795,0.5059507489204407,0.16344424,0.615,0.6654941439628601,0.23624815
34,0.81,0.5004238039255142,0.1609072,0.615,0.6634562611579895,0.23524362
35,0.80125,0.5056682974100113,0.16354533,0.615,0.6613165140151978,0.23419154
36,0.795,0.49982649832963943,0.16104975,0.62,0.6592320203781128,0.23316753
37,0.80875,0.49602439254522324,0.15950286,0.625,0.6569729447364807,0.23206005
38,0.81125,0.4888232573866844,0.15615118,0.625,0.6545981764793396,0.23089838
39,0.8,0.490889273583889,0.15719776,0.645,0.6520135402679443,0.22963719
40,0.80375,0.4802752286195755,0.15286833,0.65,0.6494627594947815,0.2283959
41,0.81625,0.4770742952823639,0.15176868,0.65,0.6468464136123657,0.22712764
42,0.80875,0.48003312200307846,0.15278058,0.645,0.6440261006355286,0.22576366
43,0.80875,0.4763724282383919,0.15198743,0.645,0.6412795782089233,0.22444084
44,0.82375,0.4713280647993088,0.14947423,0.645,0.6383320093154907,0.22302587
45,0.8175,0.4644296392798424,0.14665589,0.64,0.6351301074028015,0.2214952
46,0.82375,0.4644986242055893,0.14694147,0.645,0.6320757865905762,0.22004004
